Order ID,Customer Name,Dish Name,Order Time,Meal Time,Customer Type,Price per Dish,Quantity,Total Revenue,Day of Week,Hour of Day,Dish Category
ORD00016,Angela Morton,Manchurian,20-01-2025 04:53,Dinner,Returning,145.68,4,582.72,Monday,4,Non-Veg
ORD00017,James Brown,Manchurian,06-02-2025 00:16,Dinner,Returning,114.29,2,228.58,Thursday,0,Non-Veg
ORD00018,Amy Edwards,Tandoori Roti,23-01-2025 10:45,Dinner,Returning,386.16,4,1544.64,Thursday,10,Non-Veg
ORD00019,Megan Young,Dal Makhani,23-03-2025 17:19,Lunch,Returning,148.69,2,297.38,Sunday,17,Veg
ORD00020,Taylor Harris,Chicken Tikka,16-02-2025 09:04,Breakfast,New,437.5,2,875,Sunday,9,Non-Veg
ORD00021,Angel Lewis MD,Masala Dosa,27-02-2025 02:40,Dinner,Returning,318.38,4,1273.52,Thursday,2,Non-Veg
ORD00022,Ashley Humphrey,Dal Makhani,04-02-2025 17:39,Lunch,Returning,486.99,1,486.99,Tuesday,17,Veg
ORD00023,Terry Williams,Tandoori Roti,03-03-2025 22:06,Breakfast,Returning,395.87,3,1187.61,Monday,22,Non-Veg
ORD00024,Stephen Mckee,Mutton Rogan Josh,11-01-2025 03:41,Lunch,New,254.18,3,762.54,Saturday,3,Non-Veg
ORD00025,Rebecca Valencia,Fried Rice,30-03-2025 11:07,Breakfast,New,441.73,3,1325.19,Sunday,11,Non-Veg
ORD00026,Tim Patton,Fish Curry,18-03-2025 14:39,Dinner,New,118.78,2,237.56,Tuesday,14,Non-Veg
ORD00027,Jennifer Ramirez,Spring Roll,19-02-2025 02:17,Dinner,New,319.53,4,1278.12,Wednesday,2,Non-Veg
ORD00028,Victoria Johnson,Chicken Biryani,02-01-2025 18:32,Lunch,Returning,157.75,2,315.5,Thursday,18,Non-Veg
ORD00029,Timothy Ryan,Dal Makhani,21-03-2025 22:02,Breakfast,New,379.36,1,379.36,Friday,22,Veg
ORD00030,Kristen Lee,Spring Roll,31-03-2025 00:26,Dinner,New,107.78,4,431.12,Monday,0,Non-Veg
ORD00031,Jeremy Lewis,Fried Rice,28-03-2025 04:25,Breakfast,Returning,287.45,4,1149.8,Friday,4,Non-Veg
ORD00032,John Atkinson,Veg Thali,29-03-2025 18:40,Dinner,New,370.83,4,1483.32,Saturday,18,Veg
ORD00033,Shannon Mcclure,Fish Curry,03-03-2025 03:19,Lunch,Returning,454.83,4,1819.32,Monday,3,Non-Veg
ORD00034,Pedro Ramos,Veg Thali,12-01-2025 00:20,Breakfast,New,202.14,2,404.28,Sunday,0,Veg
ORD00035,Micheal Young,Veg Thali,23-02-2025 13:28,Breakfast,New,368.53,1,368.53,Sunday,13,Veg
ORD00036,Daniel Fisher,Chicken Biryani,21-01-2025 20:07,Breakfast,Returning,81.89,2,163.78,Tuesday,20,Non-Veg
ORD00037,Jeffrey Johnson,Fish Curry,26-01-2025 08:20,Lunch,New,292.66,4,1170.64,Sunday,8,Non-Veg
ORD00038,David Murphy,Spring Roll,23-01-2025 02:50,Lunch,Returning,135.68,1,135.68,Thursday,2,Non-Veg
ORD00039,Rachael Pearson,Pasta Alfredo,01-03-2025 23:34,Lunch,Returning,235,1,235,Saturday,23,Non-Veg
ORD00040,Lawrence Adkins,Fish Curry,03-03-2025 06:59,Dinner,New,77.28,3,231.84,Monday,6,Non-Veg
ORD00041,Michael Burton,Samosa,14-03-2025 20:55,Breakfast,New,136.22,4,544.88,Friday,20,Veg
ORD00042,Gloria Atkinson,Pasta Alfredo,13-01-2025 18:13,Breakfast,Returning,258.18,1,258.18,Monday,18,Non-Veg
ORD00043,Leslie Morris,Spring Roll,10-02-2025 08:02,Dinner,New,72.76,1,72.76,Monday,8,Non-Veg
ORD00044,Frederick Freeman MD,Chicken Biryani,30-03-2025 04:48,Breakfast,New,232.89,4,931.56,Sunday,4,Non-Veg
ORD00045,Melissa Brewer,Samosa,20-01-2025 10:56,Lunch,New,124.09,1,124.09,Monday,10,Veg
ORD00046,Patrick Rivera,Pasta Alfredo,31-03-2025 16:26,Lunch,Returning,178.36,4,713.44,Monday,16,Non-Veg
ORD00047,Destiny Lawrence,Veg Thali,15-01-2025 02:09,Lunch,New,485.92,1,485.92,Wednesday,2,Veg
ORD00048,Kristen Terry,Chole Bhature,10-03-2025 01:58,Breakfast,New,312.88,2,625.76,Monday,1,Veg
ORD00049,Dawn Hensley,Fried Rice,06-01-2025 04:15,Breakfast,New,80.83,1,80.83,Monday,4,Non-Veg
ORD00050,David Grant,Samosa,03-03-2025 11:01,Breakfast,Returning,103.95,2,207.9,Monday,11,Veg
ORD00051,Natalie Meza,Dal Makhani,22-02-2025 16:40,Breakfast,New,238.65,3,715.95,Saturday,16,Veg
ORD00052,Michael Harrison,Mutton Rogan Josh,27-03-2025 01:53,Breakfast,Returning,157.41,4,629.64,Thursday,1,Non-Veg
ORD00053,Danny Hernandez,Fish Curry,12-01-2025 21:54,Dinner,Returning,255.75,1,255.75,Sunday,21,Non-Veg
ORD00054,Kathryn Snyder,Chicken Tikka,01-01-2025 20:20,Dinner,New,82.97,2,165.94,Wednesday,20,Non-Veg
ORD00055,Alicia Hubbard,Mutton Rogan Josh,16-02-2025 01:07,Breakfast,Returning,446.39,2,892.78,Sunday,1,Non-Veg
ORD00056,Gary Santiago,Mutton Rogan Josh,03-02-2025 15:14,Breakfast,Returning,425.19,3,1275.57,Monday,15,Non-Veg
ORD00057,Brian Barton,Spring Roll,25-02-2025 16:13,Dinner,New,350.54,3,1051.62,Tuesday,16,Non-Veg
ORD00058,Dwayne Gilmore,Fish Curry,26-03-2025 19:27,Breakfast,New,169.01,1,169.01,Wednesday,19,Non-Veg
ORD00059,Maria Moore,Fried Rice,09-03-2025 13:50,Breakfast,Returning,176.79,2,353.58,Sunday,13,Non-Veg
ORD00060,Sherry Shields,Chole Bhature,07-03-2025 07:38,Breakfast,Returning,277.43,3,832.29,Friday,7,Veg
ORD00061,Mr. Phillip Bennett,Manchurian,24-03-2025 09:44,Breakfast,New,335.43,3,1006.29,Monday,9,Non-Veg
ORD00062,Leslie Kane,Paneer Butter Masala,05-01-2025 00:18,Lunch,New,336.7,3,1010.1,Sunday,0,Veg
ORD00063,Sarah Phelps,Tandoori Roti,15-01-2025 16:58,Lunch,Returning,302.41,1,302.41,Wednesday,16,Non-Veg
ORD00064,Jessica Garcia,Manchurian,07-01-2025 20:22,Dinner,New,295.52,3,886.56,Tuesday,20,Non-Veg
ORD00065,Kylie Sparks,Fried Rice,23-02-2025 00:30,Breakfast,Returning,107.35,3,322.05,Sunday,0,Non-Veg
ORD00066,David Scott,Manchurian,03-02-2025 04:35,Breakfast,Returning,144.53,2,289.06,Monday,4,Non-Veg
ORD00067,Joyce Turner,Chicken Biryani,02-03-2025 16:56,Lunch,Returning,488.23,2,976.46,Sunday,16,Non-Veg
ORD00068,Paula Beltran,Manchurian,26-03-2025 06:21,Breakfast,New,489.29,2,978.58,Wednesday,6,Non-Veg
ORD00069,Amanda Diaz,Pasta Alfredo,22-03-2025 05:28,Breakfast,New,381.45,3,1144.35,Saturday,5,Non-Veg
ORD00070,Denise Martin,Manchurian,13-03-2025 05:08,Lunch,New,170.06,1,170.06,Thursday,5,Non-Veg
ORD00071,Jordan Chambers,Samosa,04-02-2025 19:40,Breakfast,Returning,150.1,4,600.4,Tuesday,19,Veg
ORD00072,Elizabeth Ortiz,Mutton Rogan Josh,01-02-2025 19:50,Breakfast,New,60.65,2,121.3,Saturday,19,Non-Veg
ORD00073,Michael Paul,Chole Bhature,06-02-2025 06:27,Lunch,New,485.1,3,1455.3,Thursday,6,Veg
ORD00074,Claudia Wallace,Fish Curry,01-02-2025 23:05,Dinner,Returning,355.78,3,1067.34,Saturday,23,Non-Veg
ORD00075,Samantha Davis,Paneer Butter Masala,27-03-2025 11:47,Breakfast,Returning,130.36,3,391.08,Thursday,11,Veg
ORD00076,Daniel Kane,Chicken Biryani,04-01-2025 11:34,Dinner,Returning,205.56,3,616.68,Saturday,11,Non-Veg
ORD00077,Alexis Baker,Dal Makhani,09-02-2025 17:19,Dinner,New,223.34,2,446.68,Sunday,17,Veg
ORD00078,Daniel Gilbert,Paneer Butter Masala,24-01-2025 04:26,Dinner,Returning,50.76,2,101.52,Friday,4,Veg
ORD00079,Ana Hill,Pasta Alfredo,03-02-2025 03:39,Breakfast,Returning,330.42,1,330.42,Monday,3,Non-Veg
ORD00080,Cindy Hayes,Manchurian,07-03-2025 12:19,Lunch,Returning,350.1,3,1050.3,Friday,12,Non-Veg
ORD00081,Christian Leblanc,Tandoori Roti,06-02-2025 15:03,Lunch,New,136.33,4,545.32,Thursday,15,Non-Veg
ORD00082,Kristina Santiago,Tandoori Roti,03-03-2025 15:37,Breakfast,Returning,232.73,1,232.73,Monday,15,Non-Veg
ORD00083,Justin Wilson,Mutton Rogan Josh,28-01-2025 15:49,Breakfast,Returning,403.59,3,1210.77,Tuesday,15,Non-Veg
ORD00084,Ellen Morgan,Chicken Tikka,12-02-2025 07:46,Lunch,New,280.03,2,560.06,Wednesday,7,Non-Veg
ORD00085,Jesse Moore,Chicken Biryani,01-03-2025 23:16,Lunch,Returning,92.02,2,184.04,Saturday,23,Non-Veg
ORD00086,Jennifer Lewis,Mutton Rogan Josh,03-03-2025 05:44,Breakfast,New,116.31,1,116.31,Monday,5,Non-Veg
ORD00087,Tony Saunders,Chicken Tikka,23-01-2025 06:52,Dinner,New,254.94,2,509.88,Thursday,6,Non-Veg
ORD00088,Scott Williams,Tandoori Roti,07-03-2025 09:15,Lunch,Returning,229.84,2,459.68,Friday,9,Non-Veg
ORD00089,Vincent Jackson,Tandoori Roti,01-03-2025 17:10,Breakfast,New,400.29,2,800.58,Saturday,17,Non-Veg
ORD00090,Connie Maxwell,Spring Roll,17-01-2025 00:13,Dinner,Returning,72.6,2,145.2,Friday,0,Non-Veg
ORD00091,Craig Morrison,Samosa,25-03-2025 12:14,Breakfast,Returning,110,4,440,Tuesday,12,Veg
ORD00092,Eric Hill,Fried Rice,02-03-2025 18:20,Dinner,Returning,477.52,4,1910.08,Sunday,18,Non-Veg
ORD00093,Sean Wyatt,Samosa,25-02-2025 18:21,Dinner,Returning,423.76,4,1695.04,Tuesday,18,Veg
ORD00094,Tina Hayes,Masala Dosa,23-03-2025 15:58,Dinner,Returning,252.53,2,505.06,Sunday,15,Non-Veg
ORD00095,George Harper,Fish Curry,18-03-2025 10:42,Lunch,Returning,332.04,3,996.12,Tuesday,10,Non-Veg
ORD00096,Emily Douglas,Chicken Biryani,10-02-2025 00:54,Dinner,Returning,155.52,3,466.56,Monday,0,Non-Veg
ORD00097,Christopher Lewis,Manchurian,30-01-2025 02:24,Dinner,New,112.27,2,224.54,Thursday,2,Non-Veg
ORD00098,Brittany White,Tandoori Roti,04-02-2025 20:45,Breakfast,New,78.9,4,315.6,Tuesday,20,Non-Veg
ORD00099,Vincent Mueller,Fried Rice,31-01-2025 02:49,Lunch,Returning,78.02,4,312.08,Friday,2,Non-Veg
ORD00100,Rebecca Taylor,Manchurian,05-02-2025 10:49,Dinner,New,435.53,4,1742.12,Wednesday,10,Non-Veg
ORD00101,Jeffrey Potts,Paneer Butter Masala,13-02-2025 09:58,Lunch,Returning,389.06,4,1556.24,Thursday,9,Veg
ORD00102,Jade Johnson DVM,Tandoori Roti,18-02-2025 23:45,Dinner,New,269.7,3,809.1,Tuesday,23,Non-Veg
ORD00103,Ruben Dunn,Chicken Tikka,09-02-2025 16:05,Breakfast,Returning,201.26,4,805.04,Sunday,16,Non-Veg
ORD00104,Taylor Carlson,Masala Dosa,07-03-2025 21:59,Lunch,New,491.32,1,491.32,Friday,21,Non-Veg
ORD00105,Chelsea Barnett,Pasta Alfredo,24-03-2025 13:12,Dinner,New,87.78,4,351.12,Monday,13,Non-Veg
ORD00106,Austin Allen,Samosa,13-01-2025 08:26,Lunch,New,72.63,4,290.52,Monday,8,Veg
ORD00107,Dakota Moody,Veg Thali,30-01-2025 19:06,Lunch,Returning,201.88,4,807.52,Thursday,19,Veg
ORD00108,Richard Glenn,Spring Roll,26-01-2025 07:51,Lunch,Returning,425.71,4,1702.84,Sunday,7,Non-Veg
ORD00109,Angela Morrison,Tandoori Roti,02-01-2025 18:20,Dinner,New,499.96,3,1499.88,Thursday,18,Non-Veg
ORD00110,Carol Wallace,Fish Curry,21-01-2025 09:49,Breakfast,New,389.4,2,778.8,Tuesday,9,Non-Veg
ORD00111,Megan Kim,Samosa,19-01-2025 03:30,Breakfast,New,157.35,4,629.4,Sunday,3,Veg
ORD00112,Jacqueline Hines,Chicken Biryani,02-03-2025 22:27,Dinner,New,259.27,3,777.81,Sunday,22,Non-Veg
ORD00113,Mr. Justin Green III,Chole Bhature,11-03-2025 19:18,Breakfast,New,400.01,2,800.02,Tuesday,19,Veg
ORD00114,Michelle Pierce,Mutton Rogan Josh,29-03-2025 19:27,Breakfast,New,468,4,1872,Saturday,19,Non-Veg
ORD00115,Julie Bird,Tandoori Roti,06-02-2025 02:30,Breakfast,New,316.44,2,632.88,Thursday,2,Non-Veg
ORD00116,William Day,Tandoori Roti,10-01-2025 06:36,Lunch,New,408.3,1,408.3,Friday,6,Non-Veg
ORD00117,Christopher Morris,Fried Rice,01-02-2025 14:28,Lunch,Returning,81.03,3,243.09,Saturday,14,Non-Veg
ORD00118,Martin Vargas,Samosa,02-01-2025 03:38,Lunch,Returning,97.49,3,292.47,Thursday,3,Veg
ORD00119,Patricia Baker,Manchurian,27-02-2025 20:27,Lunch,New,245.97,3,737.91,Thursday,20,Non-Veg
ORD00120,Melinda Evans,Spring Roll,26-02-2025 01:28,Dinner,Returning,259.19,3,777.57,Wednesday,1,Non-Veg
ORD00121,Nathan Gross,Samosa,30-01-2025 08:05,Breakfast,New,175.52,4,702.08,Thursday,8,Veg
ORD00122,Anthony Dougherty,Spring Roll,23-01-2025 04:43,Lunch,Returning,201.38,4,805.52,Thursday,4,Non-Veg
ORD00123,Brandon Long MD,Chole Bhature,19-03-2025 10:56,Breakfast,Returning,145.45,3,436.35,Wednesday,10,Veg
ORD00124,Sarah Jordan,Mutton Rogan Josh,31-01-2025 23:28,Dinner,Returning,300.11,2,600.22,Friday,23,Non-Veg
ORD00125,Jerry Pierce,Veg Thali,08-01-2025 19:01,Dinner,Returning,269.86,2,539.72,Wednesday,19,Veg
ORD00126,Andrew Williams,Chicken Tikka,04-03-2025 20:39,Dinner,Returning,251.68,1,251.68,Tuesday,20,Non-Veg
ORD00127,Nancy Evans MD,Mutton Rogan Josh,09-01-2025 11:16,Breakfast,Returning,361.3,3,1083.9,Thursday,11,Non-Veg
ORD00128,Matthew Stanton,Dal Makhani,02-03-2025 10:26,Lunch,Returning,299.06,3,897.18,Sunday,10,Veg
ORD00129,Dana Armstrong,Tandoori Roti,08-02-2025 17:31,Dinner,Returning,208.31,4,833.24,Saturday,17,Non-Veg
ORD00130,Nancy Brown,Mutton Rogan Josh,25-01-2025 15:49,Lunch,New,104.3,2,208.6,Saturday,15,Non-Veg
ORD00131,Gloria Gomez,Chicken Biryani,29-01-2025 17:19,Dinner,New,136.19,4,544.76,Wednesday,17,Non-Veg
ORD00132,Timothy Pope,Tandoori Roti,26-01-2025 04:01,Dinner,Returning,491.23,2,982.46,Sunday,4,Non-Veg
ORD00133,Mary Burgess,Veg Thali,27-01-2025 23:09,Lunch,New,186.02,2,372.04,Monday,23,Veg
ORD00134,Michael Schmidt,Paneer Butter Masala,25-01-2025 23:14,Breakfast,Returning,363.84,2,727.68,Saturday,23,Veg
ORD00135,Nicole Mitchell,Samosa,28-02-2025 01:26,Lunch,New,442.72,3,1328.16,Friday,1,Veg
ORD00136,Alexandra Bradley,Chicken Tikka,12-02-2025 17:24,Lunch,Returning,132.96,1,132.96,Wednesday,17,Non-Veg
ORD00137,Brian Martin,Samosa,23-01-2025 23:32,Lunch,New,419.95,4,1679.8,Thursday,23,Veg
ORD00138,Michael Lopez,Chicken Biryani,14-02-2025 18:14,Dinner,New,118.28,3,354.84,Friday,18,Non-Veg
ORD00139,Nathan Smith,Veg Thali,08-01-2025 18:04,Breakfast,Returning,322.84,2,645.68,Wednesday,18,Veg
ORD00140,Tyler Mendoza,Fried Rice,12-03-2025 14:31,Lunch,Returning,458.83,3,1376.49,Wednesday,14,Non-Veg
ORD00141,Angela Elliott,Dal Makhani,20-03-2025 07:03,Lunch,Returning,305.88,1,305.88,Thursday,7,Veg
ORD00142,Daniel Aguilar,Tandoori Roti,25-02-2025 11:45,Breakfast,New,331.48,3,994.44,Tuesday,11,Non-Veg
ORD00143,Megan Parker,Chicken Biryani,02-03-2025 02:43,Breakfast,New,128.22,1,128.22,Sunday,2,Non-Veg
ORD00144,Amy Shannon,Paneer Butter Masala,15-01-2025 05:57,Lunch,Returning,360.22,4,1440.88,Wednesday,5,Veg
ORD00145,Hannah White,Paneer Butter Masala,27-01-2025 12:15,Breakfast,Returning,368.13,4,1472.52,Monday,12,Veg
ORD00146,Samantha Wright,Fish Curry,07-01-2025 11:29,Breakfast,Returning,404.52,2,809.04,Tuesday,11,Non-Veg
ORD00147,Kyle Warner,Chicken Biryani,08-02-2025 16:43,Dinner,New,341.44,3,1024.32,Saturday,16,Non-Veg
ORD00148,Cynthia Hendricks DDS,Masala Dosa,17-03-2025 05:48,Breakfast,New,124.67,3,374.01,Monday,5,Non-Veg
ORD00149,Travis Hobbs,Tandoori Roti,24-02-2025 03:53,Dinner,Returning,247.62,4,990.48,Monday,3,Non-Veg
ORD00150,James Webster,Mutton Rogan Josh,04-03-2025 16:26,Dinner,Returning,474.2,4,1896.8,Tuesday,16,Non-Veg
ORD00151,Gary Miller,Chicken Biryani,09-02-2025 20:17,Dinner,New,450.24,3,1350.72,Sunday,20,Non-Veg
ORD00152,Kristin Mendoza,Mutton Rogan Josh,24-02-2025 22:49,Breakfast,New,153.02,1,153.02,Monday,22,Non-Veg
ORD00153,Matthew Parker,Fish Curry,11-03-2025 14:38,Lunch,New,393.4,2,786.8,Tuesday,14,Non-Veg
ORD00154,Alexis Tran,Fried Rice,12-02-2025 19:49,Dinner,Returning,462.23,2,924.46,Wednesday,19,Non-Veg
ORD00155,Mr. Michael Scott PhD,Pasta Alfredo,23-02-2025 06:40,Dinner,Returning,486.07,4,1944.28,Sunday,6,Non-Veg
ORD00156,Mary Duran,Pasta Alfredo,01-02-2025 16:07,Lunch,Returning,351.56,2,703.12,Saturday,16,Non-Veg
ORD00157,Juan Smith,Pasta Alfredo,31-01-2025 00:28,Dinner,Returning,179.7,4,718.8,Friday,0,Non-Veg
ORD00158,Hector Norton,Spring Roll,16-03-2025 01:15,Dinner,New,254.67,3,764.01,Sunday,1,Non-Veg
ORD00159,James Alvarez,Chole Bhature,23-01-2025 23:22,Breakfast,Returning,439.21,1,439.21,Thursday,23,Veg
ORD00160,Thomas Cohen,Samosa,01-03-2025 20:40,Dinner,Returning,235.96,2,471.92,Saturday,20,Veg
ORD00161,Lacey Atkinson,Chole Bhature,17-02-2025 04:32,Dinner,Returning,331.43,1,331.43,Monday,4,Veg
ORD00162,Jennifer Ayala,Mutton Rogan Josh,19-01-2025 12:40,Dinner,New,467.45,4,1869.8,Sunday,12,Non-Veg
ORD00163,Angelica Montgomery,Tandoori Roti,22-03-2025 04:14,Lunch,New,62.99,2,125.98,Saturday,4,Non-Veg
ORD00164,Tommy Wallace,Masala Dosa,06-03-2025 14:32,Lunch,New,298.51,1,298.51,Thursday,14,Non-Veg
ORD00165,Linda Mueller,Samosa,21-01-2025 10:51,Breakfast,Returning,476.18,2,952.36,Tuesday,10,Veg
ORD00166,Johnny Brown,Manchurian,15-02-2025 08:43,Dinner,Returning,278.99,3,836.97,Saturday,8,Non-Veg
ORD00167,Travis Cook,Samosa,07-02-2025 19:39,Lunch,Returning,159.68,2,319.36,Friday,19,Veg
ORD00168,James Flores,Veg Thali,04-02-2025 21:57,Dinner,New,438.81,3,1316.43,Tuesday,21,Veg
ORD00169,Krista Benton,Spring Roll,12-03-2025 07:56,Lunch,Returning,470.41,3,1411.23,Wednesday,7,Non-Veg
ORD00170,William Mendoza,Paneer Butter Masala,16-03-2025 16:31,Lunch,Returning,426.86,4,1707.44,Sunday,16,Veg
ORD00171,William Byrd,Masala Dosa,20-03-2025 18:11,Lunch,Returning,205.31,4,821.24,Thursday,18,Non-Veg
ORD00172,Joel Frazier,Manchurian,11-02-2025 10:42,Lunch,New,491.35,2,982.7,Tuesday,10,Non-Veg
ORD00173,Richard Boyd,Pasta Alfredo,22-02-2025 01:06,Breakfast,Returning,69.64,4,278.56,Saturday,1,Non-Veg
ORD00174,Natalie Black,Manchurian,06-03-2025 04:35,Lunch,Returning,494.79,2,989.58,Thursday,4,Non-Veg
ORD00175,Omar Ware,Paneer Butter Masala,15-02-2025 02:03,Breakfast,Returning,441.37,4,1765.48,Saturday,2,Veg
ORD00176,Jim Baker,Fried Rice,10-01-2025 01:49,Lunch,New,375.1,4,1500.4,Friday,1,Non-Veg
ORD00177,Leslie Powers,Fish Curry,21-03-2025 06:34,Breakfast,New,261.27,3,783.81,Friday,6,Non-Veg
ORD00178,Mark Steele,Dal Makhani,31-01-2025 19:35,Dinner,Returning,342.43,3,1027.29,Friday,19,Veg
ORD00179,Robert Maynard,Fish Curry,19-03-2025 13:58,Dinner,Returning,479.36,4,1917.44,Wednesday,13,Non-Veg
ORD00180,Carol Ellis,Fried Rice,21-03-2025 09:44,Breakfast,New,155.65,3,466.95,Friday,9,Non-Veg
ORD00181,Ashley Greer PhD,Tandoori Roti,21-01-2025 16:57,Breakfast,Returning,490.25,1,490.25,Tuesday,16,Non-Veg
ORD00182,Rachel Li,Masala Dosa,10-02-2025 09:13,Dinner,Returning,456.54,1,456.54,Monday,9,Non-Veg
ORD00183,Tiffany Robertson,Spring Roll,30-01-2025 12:36,Breakfast,Returning,211.31,4,845.24,Thursday,12,Non-Veg
ORD00184,Lori Brooks,Veg Thali,14-01-2025 06:00,Dinner,Returning,304.67,2,609.34,Tuesday,6,Veg
ORD00185,Sarah Davis,Masala Dosa,16-01-2025 11:20,Breakfast,Returning,328.87,2,657.74,Thursday,11,Non-Veg
ORD00186,Kylie Washington,Manchurian,15-02-2025 07:10,Dinner,New,154.48,3,463.44,Saturday,7,Non-Veg
ORD00187,Sherri Davis,Mutton Rogan Josh,11-02-2025 19:56,Dinner,New,454.51,4,1818.04,Tuesday,19,Non-Veg
ORD00188,Casey Perez,Mutton Rogan Josh,24-03-2025 00:43,Dinner,New,83.24,3,249.72,Monday,0,Non-Veg
ORD00189,Edwin Reyes,Dal Makhani,31-03-2025 21:33,Lunch,Returning,360.64,4,1442.56,Monday,21,Veg
ORD00190,Angelica Garcia,Mutton Rogan Josh,18-03-2025 22:35,Breakfast,Returning,434,1,434,Tuesday,22,Non-Veg
ORD00191,Todd Johnson,Pasta Alfredo,22-01-2025 14:11,Dinner,Returning,308.67,3,926.01,Wednesday,14,Non-Veg
ORD00192,Andrea Oneal,Samosa,02-01-2025 23:55,Dinner,Returning,173.52,1,173.52,Thursday,23,Veg
ORD00193,Patricia Smith,Dal Makhani,24-03-2025 21:16,Dinner,Returning,424.78,3,1274.34,Monday,21,Veg
ORD00194,James Davidson,Spring Roll,12-03-2025 14:37,Breakfast,Returning,148.55,2,297.1,Wednesday,14,Non-Veg
ORD00195,Kevin Hines,Mutton Rogan Josh,26-02-2025 12:21,Dinner,New,332.71,1,332.71,Wednesday,12,Non-Veg
ORD00196,Mary Thompson,Spring Roll,29-01-2025 02:52,Lunch,New,310.81,2,621.62,Wednesday,2,Non-Veg
ORD00197,Richard Adams,Manchurian,09-01-2025 04:53,Lunch,Returning,386.37,2,772.74,Thursday,4,Non-Veg
ORD00198,Ian Porter,Masala Dosa,19-01-2025 06:38,Dinner,Returning,288.88,3,866.64,Sunday,6,Non-Veg
ORD00199,Scott Sanchez,Masala Dosa,17-03-2025 14:11,Lunch,Returning,485.32,3,1455.96,Monday,14,Non-Veg
ORD00200,Barbara Nunez,Samosa,09-03-2025 22:53,Lunch,New,260.75,1,260.75,Sunday,22,Veg
ORD00201,Jesus Wood,Spring Roll,13-01-2025 19:29,Breakfast,Returning,485.27,3,1455.81,Monday,19,Non-Veg
ORD00202,Joshua Fields,Spring Roll,09-01-2025 05:16,Lunch,New,169.01,1,169.01,Thursday,5,Non-Veg
ORD00203,Anna Morse,Chole Bhature,11-02-2025 09:29,Dinner,Returning,313.05,3,939.15,Tuesday,9,Veg
ORD00204,Dean Edwards,Fish Curry,10-01-2025 20:41,Breakfast,Returning,61.26,3,183.78,Friday,20,Non-Veg
ORD00205,Jason Herrera,Dal Makhani,25-03-2025 07:24,Breakfast,New,335.93,4,1343.72,Tuesday,7,Veg
ORD00206,Tracy Foster,Tandoori Roti,24-03-2025 18:35,Lunch,Returning,102.5,1,102.5,Monday,18,Non-Veg
ORD00207,Robert Taylor,Paneer Butter Masala,28-03-2025 03:08,Lunch,Returning,102.25,2,204.5,Friday,3,Veg
ORD00208,Angela Osborn,Fried Rice,22-03-2025 18:14,Breakfast,Returning,254.14,4,1016.56,Saturday,18,Non-Veg
ORD00209,Nathaniel Crawford,Tandoori Roti,23-02-2025 11:03,Dinner,New,448.44,1,448.44,Sunday,11,Non-Veg
ORD00210,Kathleen Andrade,Chicken Tikka,17-03-2025 21:13,Dinner,Returning,472.57,3,1417.71,Monday,21,Non-Veg
ORD00211,Kari Durham,Tandoori Roti,03-01-2025 23:28,Lunch,New,249.52,2,499.04,Friday,23,Non-Veg
ORD00212,Dr. Ariel Sandoval MD,Chole Bhature,19-03-2025 20:45,Breakfast,Returning,295.01,3,885.03,Wednesday,20,Veg
